Palabra;Grupo;Entidad;Frecuencia;Porcentaje;Pareto;Polaridad;Negativa;Neutra;Positiva;Puntuacion;Critica;Molestia;Duda;Disgusto;Miedo;Alegria;Tristeza;Sorpresa;Confianza
sigue;SEGUIR;;1040;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
primera;PRIMERA;;1034;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
ninguna;NINGUN;;1028;0,07%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
solicitar;SOLICITAR;;1023;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
verificar;VERIFICAR;;1017;0,07%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
trabajo;TRABAJAR;;1013;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
parte;PARTE;;993;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
lunes;LUNES;;986;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pregunta;PREGUNTAR;;977;0,07%;1;Neutra;0;1;0;0;no critico;0;10;0;0;0;0;0;0
manera;MANERA;;975;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
independiente;INDEPENDIENTE;;961;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cierto;CIERTO;;957;0,07%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
forma;FORMA;;956;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
poner;PONER;;944;0,07%;1;;;;;;;;;;;;;;
llamada;LLAMAR;;944;0,07%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;7
uso;USAR;;943;0,07%;1;;;;;;;;;;;;;;
pagarlo;PAGAR;;941;0,07%;1;;;;;;;;;;;;;;
indica;INDICAR;;940;0,07%;1;Neutra;0;1;0;0;no critico;0;9;0;0;0;0;0;0
operacion;OPERACIÓN;;938;0,07%;1;Negativa;1;0;0;-5;no critico;0;10;0;10;0;7;0;0
tarjetas;TARJETA;;931;0,07%;1;;;;;;;;;;;;;;
aplicacion;APLICAR;;929;0,07%;1;;;;;;;;;;;;;;
podia;PODRÍA;;925;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
efectivo;EFECTIVO;;920;0,07%;1;;;;;;;;;;;;;;
vea;VER;;914;0,07%;1;;;;;;;;;;;;;;
respecto;RESPECTO;;912;0,07%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
tienda;TIENDA;;911;0,07%;1;;;;;;;;;;;;;;
dinners;MARCA;;892;0,06%;1;;;;;;;;;;;;;;
hizo;HACER;;889;0,06%;1;;;;;;;;;;;;;;
julio;MES;;885;0,06%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
nuevamente;NUEVAMENTE;;877;0,06%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
personal;PERSONAL;;873;0,06%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
jose;NOMBRE;;868;0,06%;1;;;;;;;;;;;;;;
club;MARCA;;860;0,06%;1;;;;;;;;;;;;;;
pueda;PODRIA;;859;0,06%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
cancelacion;CANCELAR;;855;0,06%;1;Negativa;1;0;0;-5;critico;9;0;8;7;0;9;0;0
ultima;ULTIMO;;852;0,06%;1;;;;;;;;;;;;;;
fraccionamiento;FRACCIONAR;;850;0,06%;1;;;;;;;;;;;;;;
toda;TODO;;848;0,06%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
amable;AMABLE;;841;0,06%;1;Positiva;0;0;1;5;no critico;0;0;0;0;9;0;0;10
podrias;PODRÍA;;835;0,06%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
